step=212 time=0.388681s cnt=39569 avg=9.822866
step=213 time=0.479260s cnt=39384 avg=12.168901
step=214 time=0.412689s cnt=39200 avg=10.527781
step=215 time=0.453591s cnt=39017 avg=11.625471
step=216 time=0.412036s cnt=38837 avg=10.609367
step=217 time=0.483166s cnt=38658 avg=12.498474
step=218 time=0.474279s cnt=38480 avg=12.325338
step=219 time=0.419771s cnt=38305 avg=10.958648
step=220 time=0.407844s cnt=38131 avg=10.695864
step=221 time=0.4283175s cnt=37958 avg=112.839849
step=222 time=0.398391s cnt=37787 avg=10.543070
step=223 time=0.461715s cnt=37618 avg=12.273779
step=224 time=0.402102s cnt=37450 avg=10.737036
step=225 time=0.522726s cnt=37283 avg=14.020492
step=226 time=0.494486s cnt=37118 avg=13.322000
step=227 time=0.673005s cnt=36955 avg=18.211473
step=228 time=0.466681s cnt=36793 avg=12.683962
step=229 time=0.338987s cnt=36632 avg=9.253849
step=230 time=0.392441s cnt=36473 avg=10.759767
step=231 time=0.337379s cnt=36315 avg=9.290348
step=232 time=0.358242s cnt=36158 avg=9.907683
step=233 time=0.313608s cnt=36003 avg=8.710607
step=234 time=0.302262s cnt=35849 avg=8.431532
step=235 time=0.305203s cnt=35697 avg=8.549822
step=236 time=0.301137s cnt=35545 avg=8.471993
step=237 time=0.301294s cnt=35395 avg=8.512332
step=238 time=0.301367s cnt=35247 avg=8.550146
step=239 time=0.327730s cnt=35099 avg=9.337303
step=240 time=0.378403s cnt=34953 avg=10.826052
step=241 time=0.382717s cnt=34808 avg=10.995087
step=242 time=0.338636s cnt=34664 avg=9.769098
step=243 time=0.297478s cnt=34522 avg=8.617056
step=244 time=0.293322s cnt=34380 avg=8.531763
step=245 time=0.298769s cnt=34240 avg=8.725730
step=246 time=0.307579s cnt=34101 avg=9.019648
step=247 time=0.289337s cnt=33962 avg=8.519433
step=248 time=0.296711s cnt=33826 avg=8.771685
step=249 time=0.342641s cnt=33690 avg=10.170407
step=250 time=0.311958s cnt=33555 avg=9.296916
step=251 time=0.303153s cnt=33421 avg=9.070734
step=252 time=0.314583s cnt=33289 avg=9.450059
step=253 time=0.292047s cnt=33157 avg=8.808004
step=254 time=0.312393s cnt=33027 avg=9.458716
step=255 time=0.292635s cnt=32897 avg=8.895492
step=256 time=0.441813s cnt=32768 avg=13.483063
step=257 time=0.351054s cnt=32641 avg=10.755001
step=258 time=0.416610s cnt=32514 avg=12.813250
step=259 time=0.337876s cnt=32389 avg=10.431813
step=260 time=0.359530s cnt=32264 avg=11.143380
step=261 time=0.399413s cnt=32141 avg=12.426900
step=262 time=0.428466s cnt=32018 avg=13.382035
step=263 time=0.369113s cnt=31896 avg=11.572392
step=264 time=0.326360s cnt=31776 avg=10.270645
step=265 time=0.400716s cnt=31656 avg=12.658453
step=266 time=0.294973s cnt=31537 avg=9.353236
step=267 time=0.320082s cnt=31419 avg=10.187530
step=268 time=0.286750s cnt=31301 avg=9.161049
step=269 time=0.294400s cnt=31185 avg=9.440436
step=270 time=0.296428s cnt=31069 avg=9.540957
step=271 time=0.336848s cnt=30955 avg=10.881861
step=272 time=0.348799s cnt=30841 avg=11.309588
step=273 time=0.429987s cnt=30728 avg=13.993329
step=274 time=0.400349s cnt=30616 avg=13.076463
step=275 time=0.430917s cnt=30505 avg=14.126110
step=276 time=0.379873s cnt=30394 avg=12.498289
step=277 time=0.341129s cnt=30284 avg=11.264331
step=278 time=0.505363s cnt=30175 avg=16.747738
step=279 time=0.641132s cnt=30067 avg=21.323444
step=280 time=0.455073s cnt=29960 avg=15.189352
step=281 time=0.406385s cnt=29853 avg=13.612870
step=282 time=0.434797s cnt=29747 avg=14.616499
step=283 time=0.429429s cnt=29642 avg=14.487180
step=284 time=0.403078s cnt=29538 avg=13.646083
step=285 time=0.460528s cnt=29434 avg=15.646124
step=286 time=0.427002s cnt=29331 avg=14.558044
step=287 time=0.357476s cnt=29229 avg=12.230182
